Nanometer,Radiance(mW/m2/nm)
703.55,1432.21
704.51,1445.92
705.47,1436.23
706.43,1417.3
707.38,1419.8
708.34,1407.49
709.29,1391.61
710.25,1405.39
711.21,1381.99
712.16,1373.43
713.12,1373.31
714.07,1379.03
715.03,1363.43
715.98,1369.03
716.93,1373.26
717.89,1366.08
718.84,1341.93
719.79,1354.12
720.74,1351.42
721.7,1352.08
722.65,1349.04
723.6,1355.14
724.55,1350.01
725.5,1338.19
726.45,1341.2
727.4,1340.59
728.35,1315.03
729.3,1299.64
730.25,1331.35
731.2,1324.96
732.15,1327.88
733.09,1318.17
734.04,1331.01
734.99,1315.4
735.94,1303.14
736.88,1304.99
737.83,1300.33
738.77,1260.68
739.72,1277.2
740.67,1263.21
741.61,1254.67
742.55,1274.99
743.5,1291.94
744.44,1277.16
745.39,1291.91
746.33,1284.46
747.27,1289.65
748.22,1287.83
749.16,1265.55
750.1,1266.98
751.04,1255.15
751.98,1266.21
752.92,1259.84
753.86,1272.91
754.8,1270.25
755.74,1265.66
756.68,1271.06
757.62,1272.27
758.56,1251.31
759.5,1270.05
760.44,1255.71
761.38,1242.88
762.31,1237.99
763.25,1258.8
764.19,1257.99
765.12,1248.33
766.06,1193.62
767.0,1227.73
767.93,1241.77
768.87,1228.31
769.8,1225.49
770.74,1226.23
771.67,1220.35
772.6,1219.49
777.27,1164.85
778.2,1160.99
779.13,1171.28
780.06,1159.5
780.99,1163.58
781.92,1172.14
782.85,1156.31
783.78,1144.6
784.71,1155.99
786.57,1157.38
787.5,1151.51
788.43,1152.02
789.35,1154.52
790.28,1156.03
791.21,1140.01
792.14,1132.03
793.06,1112.53
793.99,1102.71
794.91,1121.38
795.84,1136.98
796.76,1134.1
797.69,1132.86
798.61,1131.27
799.54,1116.11
800.46,1116.9
801.38,1126.28
802.31,1119.26
803.23,1118.22
804.15,1118.7
805.08,1100.6
806.0,1115.63
806.92,1109.64
807.84,1106.92
808.76,1100.43
809.68,1092.14
810.6,1106.48
811.52,1108.46
812.44,1112.31
813.36,1114.85
814.28,1104.99
815.2,1103.34
816.11,1100.14
817.03,1095.62
817.95,1081.35
818.87,1067.07
819.78,1057.84
820.7,1066.97
821.61,1052.31
822.53,1074.56
823.45,1071.43
824.36,1068.96
825.28,1065.3
826.19,1069.62
827.1,1072.1
828.02,1063.4
828.93,1060.31
829.84,1055.93
830.76,1047.41
831.67,1059.88
832.58,1033.46
833.49,1016.32
834.4,1021.71
835.31,1043.1
836.22,1044.19
837.14,1041.11
838.04,1022.0
838.95,1022.91
839.86,1037.94
840.77,1041.5
841.68,1020.21
842.59,1010.43
843.5,990.93
844.41,1011.9
845.31,1029.24
846.22,1025.13
847.13,1000.04
848.03,1003.19
848.94,984.41
849.84,903.33
850.75,979.66
851.65,962.37
852.56,974.33
853.46,885.25
854.37,771.82
855.27,937.93
856.17,976.94
857.08,964.59
857.98,975.78
858.88,970.5
859.78,977.94
860.68,975.09
861.59,978.19
862.49,1009.31
863.39,994.47
864.29,995.14
865.19,950.54
866.09,827.45
866.99,914.64
867.88,977.93
868.78,948.86
869.68,973.31
870.58,965.23
871.48,949.37
872.37,972.91
873.27,962.19
874.17,935.36
875.04,934.76
875.12,935.12
875.2,936.64
875.27,935.68
875.35,932.51
875.43,930.4
875.5,929.09
875.58,928.64
875.66,929.85
875.73,932.83
875.81,936.44
875.89,940.9
875.96,945.36
876.04,949.26
876.12,953.01
876.19,955.2
876.27,955.47
876.35,957.62
876.42,961.34
876.5,965.19
876.58,968.91
876.66,973.19
876.73,975.03
876.81,974.81
876.89,973.07
876.96,970.11
877.04,966.43
877.12,963.58
877.19,961.32
877.27,960.57
877.35,960.86
877.42,961.77
877.5,961.73
877.58,961.68
877.66,961.24
877.73,960.64
877.81,959.95
877.89,960.26
877.96,960.73
878.04,962.29
878.12,964.55
878.19,967.03
878.27,968.91
878.35,970.58
878.43,971.12
878.5,971.06
878.58,970.13
878.66,967.4
878.73,965.32
878.81,963.22
878.89,959.6
878.97,954.75
879.04,952.39
879.12,949.87
879.2,947.47
879.28,946.1
879.35,946.93
879.43,946.82
879.51,946.09
879.59,944.77
879.66,945.55
879.74,947.35
879.82,949.16
879.89,950.54
879.97,953.83
880.05,955.47
880.13,955.41
880.2,952.15
880.28,944.56
880.36,935.78
880.44,926.87
880.51,918.72
880.59,913.53
880.67,913.45
880.75,913.16
880.82,912.77
880.9,911.94
880.98,910.55
881.06,908.94
881.14,907.54
881.21,905.34
881.29,907.75
881.37,914.9
881.45,923.82
881.52,932.96
881.6,943.46
881.68,949.9
881.76,952.46
881.83,953.19
881.91,952.75
881.99,949.25
882.07,942.84
882.15,938.35
882.22,934.49
882.3,931.84
882.38,931.87
882.46,934.45
882.53,935.06
882.61,935.09
882.69,934.76
882.77,934.41
882.85,934.01
882.92,933.06
883.0,931.56
883.08,933.84
883.16,938.02
883.24,942.37
883.31,947.19
883.39,951.24
883.47,949.1
883.55,945.76
883.63,942.65
883.7,939.87
883.78,938.31
883.86,938.7
883.94,938.28
884.02,937.96
884.09,937.58
884.17,936.99
884.25,936.14
884.33,934.94
884.41,932.9
884.49,933.14
884.56,934.92
884.64,937.6
884.72,940.8
884.8,944.42
884.88,945.87
884.96,946.34
885.03,946.47
885.11,946.36
885.19,945.96
885.27,945.57
885.35,945.62
885.43,945.66
885.5,945.47
885.58,944.32
885.66,940.46
885.74,935.78
885.82,929.81
885.9,922.59
885.97,916.3
886.05,912.32
886.13,908.22
886.21,904.16
886.29,899.22
886.37,894.95
886.45,890.36
886.53,886.29
886.6,883.14
886.68,884.73
886.76,887.21
886.84,890.83
886.92,895.8
887.0,902.36
887.08,907.31
887.15,911.02
887.23,912.79
887.31,915.62
887.39,918.23
887.47,920.63
887.55,923.84
887.63,928.55
887.71,930.67
887.78,931.73
887.86,932.15
887.94,931.58
888.02,930.79
888.1,930.21
888.18,929.46
888.26,929.74
888.34,930.72
888.41,931.72
888.49,933.2
888.57,935.04
888.65,935.62
888.73,935.64
888.81,935.38
888.89,933.41
888.97,931.84
889.05,931.23
889.13,930.88
889.21,930.93
889.28,931.9
889.36,932.38
889.44,932.28
889.52,931.51
889.6,930.64
889.68,930.29
889.76,930.26
889.84,930.01
889.92,931.26
890.0,932.94
890.08,934.29
890.16,935.34
890.23,936.71
890.31,937.04
890.39,936.98
890.47,936.5
890.55,936.1
890.63,936.03
890.71,935.52
890.79,933.46
890.87,931.95
890.95,930.52
891.03,928.88
891.11,927.72
891.19,928.06
891.27,928.08
891.34,927.89
891.42,927.51
891.5,926.39
891.58,924.22
891.66,922.5
891.74,920.44
891.82,919.61
891.9,919.52
891.98,919.49
892.06,918.64
892.14,917.91
892.22,915.94
892.3,913.04
892.38,910.08
892.46,907.07
892.54,902.86
892.62,900.5
892.7,899.44
892.78,899.22
892.86,899.44
892.94,900.91
893.02,901.3
893.1,902.21
893.18,904.07
893.26,905.94
893.34,908.15
893.42,910.73
893.49,912.79
893.58,915.4
893.66,918.26
893.73,921.05
893.82,922.56
893.9,921.79
893.97,920.28
894.05,918.23
894.13,914.03
894.21,909.64
894.29,907.09
894.37,904.0
894.45,901.08
894.53,899.36
894.61,897.76
894.69,896.6
894.77,895.43
894.85,893.7
894.93,894.87
895.02,896.85
895.09,897.87
895.17,900.4
895.26,905.02
895.34,908.45
895.41,911.75
895.5,915.58
895.58,918.36
895.66,920.52
895.74,921.99
895.82,923.17
895.9,924.49
895.98,925.25
896.06,925.2
896.14,924.74
896.22,923.29
896.3,920.54
896.38,917.23
896.46,914.06
896.54,911.1
896.62,909.1
896.7,908.43
896.78,908.51
896.86,908.58
896.94,908.66
897.02,908.4
897.1,906.97
897.18,904.62
897.26,902.22
897.34,900.79
897.42,900.62
897.51,902.03
897.59,904.64
897.67,907.38
897.75,909.16
897.83,910.01
897.91,910.41
897.99,909.94
898.07,908.08
898.15,906.96
898.23,906.74
898.31,907.01
898.39,907.95
898.47,910.24
898.55,912.01
898.63,912.86
898.72,912.71
898.8,912.25
898.88,911.69
898.96,910.68
899.04,909.12
899.12,908.83
899.2,908.91
899.28,908.57
899.36,908.49
899.44,907.95
899.52,902.78
899.6,897.75
899.68,893.55
899.77,889.61
899.85,887.11
899.93,888.47
900.01,889.28
900.09,889.69
900.17,889.84
900.25,889.01
900.33,888.09
900.41,885.61
900.49,881.28
900.58,878.44
900.66,877.42
900.74,876.33
900.82,874.54
900.9,874.27
900.98,870.83
901.06,865.17
901.14,858.95
901.23,854.39
901.31,848.98
901.39,844.94
901.47,842.89
901.55,840.95
901.63,841.14
901.71,843.05
901.79,843.63
901.88,845.97
901.96,849.4
902.04,851.8
902.12,855.27
902.2,861.57
902.28,865.47
902.36,870.34
902.45,875.81
902.53,879.66
902.61,882.93
902.69,885.32
902.77,886.51
902.85,888.51
902.93,890.8
903.02,892.25
903.1,895.33
903.18,898.13
903.26,899.25
903.34,900.07
903.42,901.35
903.51,901.64
903.59,901.81
903.67,901.93
903.75,902.78
903.83,903.63
903.91,904.41
904.0,905.34
904.08,906.35
904.16,906.4
904.24,906.41
904.32,906.67
904.4,906.85
904.49,907.01
904.57,907.35
904.65,907.4
904.73,906.54
904.81,905.89
904.9,905.25
904.98,904.65
905.06,904.12
905.14,904.2
905.22,904.17
905.3,904.22
905.39,903.99
905.47,903.45
905.55,903.05
905.63,901.98
905.72,897.9
905.8,893.06
905.88,888.28
905.96,884.17
906.04,880.83
906.13,880.38
906.21,880.92
906.29,881.57
906.37,881.34
906.45,880.96
906.54,880.82
906.62,879.97
906.7,878.57
906.78,878.78
906.86,881.0
906.95,883.98
907.03,888.19
907.11,892.92
907.19,896.21
907.28,897.48
907.36,897.14
907.44,893.92
907.52,889.66
907.61,884.9
907.69,881.22
907.77,878.39
907.85,877.9
907.93,878.11
908.02,879.35
908.1,879.85
908.18,880.22
908.27,880.07
908.35,878.94
908.43,871.21
908.51,863.93
908.59,859.56
908.68,857.0
908.76,856.11
908.84,861.18
908.93,865.38
909.01,865.4
909.09,861.21
909.17,857.76
909.26,854.42
909.34,851.15
909.42,846.54
909.5,848.16
909.59,852.46
909.67,856.55
909.75,861.36
909.84,868.68
909.92,872.12
910.0,871.69
910.08,870.57
910.17,871.3
910.25,872.62
910.33,874.67
910.41,876.02
910.5,878.38
910.58,879.46
910.66,879.46
910.75,877.44
910.83,875.67
910.91,874.18
911.0,872.29
911.08,870.91
911.16,870.84
911.24,871.15
911.33,869.42
911.41,867.09
911.49,862.7
911.58,860.25
911.66,858.15
911.74,856.6
911.83,856.64
911.91,860.55
911.99,863.51
912.08,866.39
912.16,870.19
912.24,871.85
912.33,871.38
912.41,872.63
912.49,873.27
912.58,876.41
912.66,879.98
912.74,884.73
912.83,887.25
912.91,890.27
912.99,890.73
913.08,890.59
913.16,890.37
913.24,889.95
913.33,889.6
913.41,889.2
913.49,888.75
913.58,888.1
913.66,887.56
913.74,886.79
913.83,885.81
913.91,884.79
913.99,883.97
914.08,883.1
914.16,881.65
914.24,879.77
914.33,877.48
914.41,874.52
914.49,871.52
914.58,869.31
914.66,867.96
914.75,867.27
914.83,867.52
914.91,868.17
915.0,868.53
915.08,868.56
915.16,868.42
915.25,868.64
915.33,869.25
915.42,870.87
915.5,873.25
915.58,875.69
915.67,877.52
915.75,878.88
915.84,879.41
915.92,879.06
916.0,877.71
916.09,876.41
916.17,875.21
916.25,874.24
916.34,873.5
916.42,873.36
916.51,872.96
916.59,872.2
916.67,871.17
916.76,869.81
916.84,868.3
916.93,865.91
917.01,863.41
917.09,861.97
917.18,860.89
917.26,860.04
917.35,860.35
917.43,860.81
917.52,860.29
917.6,859.95
917.68,860.01
917.77,860.02
917.85,860.28
917.94,860.93
918.02,862.63
918.1,864.46
918.19,866.41
918.27,868.39
918.36,870.07
918.44,870.29
918.53,870.34
918.61,870.54
918.7,870.67
918.78,870.72
918.86,870.9
918.95,870.83
919.03,870.7
919.12,870.58
919.2,870.49
919.29,870.28
919.37,870.13
919.46,869.55
919.54,868.45
919.63,867.22
919.71,866.25
919.79,865.01
919.88,863.52
919.96,862.64
920.05,861.76
920.13,860.65
920.22,859.74
920.3,859.14
920.39,858.0
920.47,856.64
920.56,854.75
920.64,852.77
920.73,850.74
920.81,848.32
920.9,845.09
920.98,842.49
921.07,839.82
921.15,837.7
921.23,836.35
921.32,835.17
921.4,833.26
921.49,831.62
921.57,830.06
921.66,829.67
921.74,830.8
921.83,833.14
921.91,836.21
922.0,839.45
922.08,841.05
922.17,841.85
922.25,841.52
922.34,839.16
922.42,835.33
922.51,831.11
922.59,826.12
922.68,821.22
922.77,816.88
922.85,812.86
922.93,809.39
923.02,807.11
923.1,806.24
923.19,806.51
923.28,807.12
923.36,807.54
923.45,808.98
923.53,811.65
923.62,815.5
923.7,820.62
923.79,826.68
923.87,832.16
923.96,836.07
924.04,838.41
924.13,839.54
924.21,839.37
924.3,838.34
924.39,837.87
924.47,838.21
924.56,838.92
924.64,840.77
924.73,842.99
924.81,844.39
924.9,844.78
924.98,844.81
925.07,844.23
925.16,841.35
925.24,837.92
925.33,835.87
925.41,833.12
925.5,829.39
925.58,827.75
925.67,826.45
925.76,823.78
925.84,821.55
925.93,820.39
926.01,819.35
926.1,818.33
926.18,818.64
926.27,821.4
926.35,824.64
926.44,828.33
926.53,833.48
926.61,838.35
926.7,841.47
926.78,844.58
926.87,847.18
926.96,848.86
927.04,850.31
927.13,851.87
927.21,853.32
927.3,855.05
927.39,856.29
927.47,856.43
927.56,856.08
927.64,855.98
927.73,855.72
927.82,855.34
927.9,855.49
927.99,856.05
928.07,856.27
928.16,856.11
928.25,855.77
928.33,855.13
928.42,854.05
928.51,852.68
928.59,850.94
928.68,849.11
928.76,847.55
928.85,846.45
928.94,845.69
929.02,844.92
929.11,844.06
929.2,842.85
929.28,841.25
929.37,839.79
929.45,839.02
929.54,838.73
929.63,839.4
929.71,840.9
929.8,842.4
929.89,843.96
929.97,845.38
930.06,846.14
930.15,846.58
930.23,847.01
930.32,847.48
930.41,848.17
930.49,848.84
930.58,849.32
930.66,849.66
930.75,849.58
930.84,849.4
930.92,849.21
931.01,848.6
931.1,848.02
931.18,848.02
931.27,847.83
931.36,846.75
931.45,845.52
931.53,844.47
931.62,843.23
931.71,842.25
931.79,842.14
931.88,842.68
931.97,842.82
932.05,842.6
932.14,842.38
932.23,841.92
932.31,840.81
932.4,840.5
932.49,841.48
932.58,842.63
932.66,843.99
932.75,845.73
932.84,847.03
932.92,846.95
933.01,846.13
933.1,845.52
933.18,845.13
933.27,844.56
933.36,844.52
933.45,845.11
933.53,845.5
933.62,845.75
933.71,845.98
933.79,846.0
933.88,845.43
933.97,844.77
934.06,844.44
934.14,843.99
934.23,843.55
934.32,843.71
